Y	M	D	Q_cfs
2005	10	1	196
2005	10	2	185
2005	10	3	155
2005	10	4	142
2005	10	5	222
2005	10	6	239
2005	10	7	310
2005	10	8	286
2005	10	9	271
2005	10	10	291
2005	10	11	418
2005	10	12	434
2005	10	13	385
2005	10	14	372
2005	10	15	362
2005	10	16	362
2005	10	17	412
2005	10	18	391
2005	10	19	393
2005	10	20	427
2005	10	21	438
2005	10	22	491
2005	10	23	506
2005	10	24	463
2005	10	25	420
2005	10	26	389
2005	10	27	375
2005	10	28	362
2005	10	29	362
2005	10	30	370
2005	10	31	402
2005	11	1	424
2005	11	2	389
2005	11	3	370
2005	11	4	358
2005	11	5	381
2005	11	6	381
2005	11	7	379
2005	11	8	406
2005	11	9	422
2005	11	10	404
2005	11	11	375
2005	11	12	371
2005	11	13	422
2005	11	14	463
2005	11	15	482
2005	11	16	448
2005	11	17	356
2005	11	18	397
2005	11	19	438
2005	11	20	429
2005	11	21	391
2005	11	22	358
2005	11	23	348
2005	11	24	327
2005	11	25	327
2005	11	26	327
2005	11	27	324
2005	11	28	312
2005	11	29	212
2005	11	30	222
2005	12	1	318
2005	12	2	347
2005	12	3	334
2005	12	4	324
2005	12	5	283
2005	12	6	297
2005	12	7	297
2005	12	8	233
2005	12	9	262
2005	12	10	294
2005	12	11	315
2005	12	12	337
2005	12	13	334
2005	12	14	324
2005	12	15	318
2005	12	16	318
2005	12	17	337
2005	12	18	347
2005	12	19	334
2005	12	20	344
2005	12	21	337
2005	12	22	321
2005	12	23	340
2005	12	24	318
2005	12	25	315
2005	12	26	312
2005	12	27	318
2005	12	28	306
2005	12	29	315
2005	12	30	303
2005	12	31	289
2006	1	1	297
2006	1	2	278
2006	1	3	283
2006	1	4	265
2006	1	5	267
2006	1	6	283
2006	1	7	294
2006	1	8	289
2006	1	9	265
2006	1	10	229
2006	1	11	265
2006	1	12	280
2006	1	13	245
2006	1	14	300
2006	1	15	315
2006	1	16	309
2006	1	17	278
2006	1	18	303
2006	1	19	292
2006	1	20	280
2006	1	21	252
2006	1	22	286
2006	1	23	252
2006	1	24	280
2006	1	25	312
2006	1	26	300
2006	1	27	292
2006	1	28	280
2006	1	29	275
2006	1	30	275
2006	1	31	267
2006	2	1	265
2006	2	2	265
2006	2	3	262
2006	2	4	262
2006	2	5	270
2006	2	6	260
2006	2	7	255
2006	2	8	245
2006	2	9	252
2006	2	10	236
2006	2	11	166
2006	2	12	212
2006	2	13	265
2006	2	14	245
2006	2	15	278
2006	2	16	233
2006	2	17	229
2006	2	18	252
2006	2	19	236
2006	2	20	238
2006	2	21	236
2006	2	22	227
2006	2	23	222
2006	2	24	233
2006	2	25	243
2006	2	26	250
2006	2	27	286
2006	2	28	331
2006	3	1	350
2006	3	2	340
2006	3	3	350
2006	3	4	364
2006	3	5	350
2006	3	6	364
2006	3	7	371
2006	3	8	371
2006	3	9	361
2006	3	10	357
2006	3	11	354
2006	3	12	350
2006	3	13	344
2006	3	14	337
2006	3	15	337
2006	3	16	337
2006	3	17	361
2006	3	18	417
2006	3	19	588
2006	3	20	704
2006	3	21	695
2006	3	22	660
2006	3	23	672
2006	3	24	728
2006	3	25	809
2006	3	26	927
2006	3	27	1030
2006	3	28	811
2006	3	29	816
2006	3	30	1110
2006	3	31	1150
2006	4	1	966
2006	4	2	1190
2006	4	3	1330
2006	4	4	1350
2006	4	5	1900
2006	4	6	2800
2006	4	7	2920
2006	4	8	2440
2006	4	9	2500
2006	4	10	3280
2006	4	11	4090
2006	4	12	4860
2006	4	13	5090
2006	4	14	6200
2006	4	15	7140
2006	4	16	7820
2006	4	17	6990
2006	4	18	7580
2006	4	19	6860
2006	4	20	5130
2006	4	21	4250
2006	4	22	4250
2006	4	23	5070
2006	4	24	6410
2006	4	25	7070
2006	4	26	6330
2006	4	27	5830
2006	4	28	6600
2006	4	29	6970
2006	4	30	6300
2006	5	1	6000
2006	5	2	6100
2006	5	3	6500
2006	5	4	6720
2006	5	5	6420
2006	5	6	6470
2006	5	7	5550
2006	5	8	5350
2006	5	9	5820
2006	5	10	5560
2006	5	11	4860
2006	5	12	4300
2006	5	13	4800
2006	5	14	5500
2006	5	15	6100
2006	5	16	6600
2006	5	17	7360
2006	5	18	7660
2006	5	19	7920
2006	5	20	8720
2006	5	21	9490
2006	5	22	9840
2006	5	23	10300
2006	5	24	11100
2006	5	25	10300
2006	5	26	9030
2006	5	27	9070
2006	5	28	8750
2006	5	29	7540
2006	5	30	5890
2006	5	31	4950
2006	6	1	4910
2006	6	2	5080
2006	6	3	5480
2006	6	4	5710
2006	6	5	5720
2006	6	6	6060
2006	6	7	6170
2006	6	8	5880
2006	6	9	5690
2006	6	10	6760
2006	6	11	5770
2006	6	12	4870
2006	6	13	4470
2006	6	14	4050
2006	6	15	3950
2006	6	16	3630
2006	6	17	2980
2006	6	18	2630
2006	6	19	2560
2006	6	20	2490
2006	6	21	2320
2006	6	22	2160
2006	6	23	1980
2006	6	24	1790
2006	6	25	1600
2006	6	26	1440
2006	6	27	1330
2006	6	28	1190
2006	6	29	1070
2006	6	30	1030
2006	7	1	962
2006	7	2	898
2006	7	3	840
2006	7	4	797
2006	7	5	810
2006	7	6	789
2006	7	7	792
2006	7	8	803
2006	7	9	844
2006	7	10	1110
2006	7	11	1370
2006	7	12	1070
2006	7	13	823
2006	7	14	686
2006	7	15	607
2006	7	16	535
2006	7	17	450
2006	7	18	394
2006	7	19	375
2006	7	20	380
2006	7	21	366
2006	7	22	338
2006	7	23	321
2006	7	24	283
2006	7	25	257
2006	7	26	238
2006	7	27	252
2006	7	28	258
2006	7	29	227
2006	7	30	196
2006	7	31	193
2006	8	1	207
2006	8	2	223
2006	8	3	297
2006	8	4	315
2006	8	5	274
2006	8	6	245
2006	8	7	216
2006	8	8	231
2006	8	9	236
2006	8	10	209
2006	8	11	171
2006	8	12	148
2006	8	13	171
2006	8	14	162
2006	8	15	172
2006	8	16	173
2006	8	17	167
2006	8	18	147
2006	8	19	121
2006	8	20	117
2006	8	21	114
2006	8	22	99.3
2006	8	23	101
2006	8	24	91.3
2006	8	25	91.9
2006	8	26	80.9
2006	8	27	90
2006	8	28	115
2006	8	29	166
2006	8	30	163
2006	8	31	154
2006	9	1	137
2006	9	2	117
2006	9	3	105
2006	9	4	110
2006	9	5	116
2006	9	6	103
2006	9	7	88.2
2006	9	8	81.3
2006	9	9	95.3
2006	9	10	110
2006	9	11	119
2006	9	12	197
2006	9	13	199
2006	9	14	148
2006	9	15	134
2006	9	16	288
2006	9	17	326
2006	9	18	480
2006	9	19	407
2006	9	20	313
2006	9	21	313
2006	9	22	400
2006	9	23	517
2006	9	24	530
2006	9	25	488
2006	9	26	438
2006	9	27	418
2006	9	28	419
2006	9	29	441
2006	9	30	456
2006	10	1	503
2006	10	2	488
2006	10	3	471
2006	10	4	466
2006	10	5	849
2006	10	6	666
2006	10	7	632
2006	10	8	878
2006	10	9	1000
2006	10	10	854
2006	10	11	807
2006	10	12	832
2006	10	13	738
2006	10	14	666
2006	10	15	660
2006	10	16	665
2006	10	17	707
2006	10	18	791
2006	10	19	741
2006	10	20	675
2006	10	21	664
2006	10	22	751
2006	10	23	709
2006	10	24	658
2006	10	25	642
2006	10	26	705
2006	10	27	672
2006	10	28	625
2006	10	29	622
2006	10	30	640
2006	10	31	656
2006	11	1	630
2006	11	2	575
2006	11	3	503
2006	11	4	499
2006	11	5	523
2006	11	6	512
2006	11	7	490
2006	11	8	490
2006	11	9	484
2006	11	10	534
2006	11	11	575
2006	11	12	541
2006	11	13	512
2006	11	14	515
2006	11	15	442
2006	11	16	477
2006	11	17	447
2006	11	18	494
2006	11	19	535
2006	11	20	508
2006	11	21	458
2006	11	22	442
2006	11	23	457
2006	11	24	465
2006	11	25	438
2006	11	26	425
2006	11	27	435
2006	11	28	429
